iter	Passed	Remaining
0	0	57
1	1	53
2	1	50
3	2	48
4	2	51
5	3	51
6	3	50
7	4	48
8	4	48
9	5	47
10	5	46
11	6	46
12	6	45
13	7	44
14	7	44
15	8	43
16	8	42
17	9	42
18	9	42
19	10	41
20	10	41
21	11	40
22	11	39
23	12	39
24	12	38
25	13	37
26	13	36
27	14	36
28	14	35
29	15	35
30	15	34
31	16	34
32	16	34
33	17	33
34	17	33
35	18	32
36	18	32
37	19	31
38	19	31
39	20	30
40	20	30
41	21	29
42	21	28
43	21	27
44	22	27
45	22	26
46	23	26
47	24	26
48	24	25
49	25	25
50	25	24
51	26	24
52	27	24
53	27	23
54	28	22
55	28	22
56	29	22
57	29	21
58	30	21
59	30	20
60	31	20
61	31	19
62	32	19
63	32	18
64	33	18
65	34	17
66	34	16
67	34	16
68	35	15
69	36	15
70	36	14
71	37	14
72	37	13
73	38	13
74	38	12
75	39	12
76	39	11
77	40	11
78	40	10
79	41	10
80	41	9
81	42	9
82	42	8
83	43	8
84	43	7
85	44	7
86	44	6
87	45	6
88	45	5
89	46	5
90	46	4
91	47	4
92	47	3
93	48	3
94	48	2
95	49	2
96	49	1
97	50	1
98	50	0
99	51	0
