iter	Passed	Remaining
0	73	72995
1	73	36706
2	74	24601
3	74	18555
4	75	14939
5	75	12584
6	76	10862
7	77	9559
8	77	8547
9	78	7730
10	78	7072
11	79	6532
12	79	6065
13	80	5664
14	80	5317
15	81	5021
16	82	4752
17	82	4510
18	83	4292
19	83	4095
20	84	3916
21	84	3757
22	85	3614
23	85	3479
24	86	3355
25	86	3241
26	87	3139
27	87	3048
28	88	2959
29	88	2876
30	89	2800
31	90	2725
32	90	2654
33	91	2590
34	91	2526
35	92	2465
36	92	2410
37	93	2361
38	93	2312
39	94	2264
40	94	2217
41	95	2172
42	95	2130
43	96	2089
44	96	2050
45	97	2013
46	97	1977
47	98	1943
48	98	1913
49	99	1884
50	99	1855
51	100	1826
52	100	1799
53	101	1772
54	101	1745
55	102	1720
56	102	1696
57	102	1672
58	103	1648
59	103	1626
60	104	1605
61	104	1585
62	105	1569
63	106	1552
64	106	1536
65	107	1519
66	107	1503
67	108	1488
68	109	1473
69	109	1457
70	110	1442
71	110	1428
72	111	1416
73	112	1401
74	112	1388
75	113	1376
76	113	1363
77	114	1351
78	114	1338
79	115	1326
80	115	1313
81	116	1301
82	116	1288
83	117	1280
84	118	1272
85	118	1261
86	119	1253
87	119	1243
88	120	1232
89	120	1222
90	121	1213
91	122	1204
92	122	1194
93	123	1186
94	123	1178
95	124	1172
96	125	1163
97	125	1155
98	126	1147
99	126	1138
100	126	1130
101	127	1122
102	128	1115
103	128	1107
104	129	1100
105	129	1093
106	130	1087
107	130	1080
108	131	1073
109	131	1067
110	132	1060
111	132	1052
112	133	1046
113	133	1039
114	134	1032
115	134	1025
116	134	1018
117	135	1012
118	136	1007
119	136	1003
120	137	997
121	137	991
122	138	985
123	138	981
124	139	976
125	139	970
126	140	964
127	140	958
128	141	954
129	142	950
130	142	946
131	143	941
132	143	936
133	144	931
134	144	926
135	145	921
136	145	916
137	145	911
138	146	906
139	146	901
140	147	896
141	147	891
142	148	888
143	148	884
144	149	880
145	149	875
146	150	871
147	150	866
148	151	862
149	151	858
150	151	854
151	152	850
152	152	845
153	153	841
154	153	838
155	154	835
156	154	832
157	155	828
158	156	825
159	156	821
160	156	817
161	157	813
162	157	809
163	158	806
164	158	802
165	159	799
166	159	796
167	172	854
168	173	852
169	173	849
170	174	846
171	175	843
172	175	839
173	176	836
174	176	832
175	177	828
176	177	825
177	177	821
178	178	818
179	178	814
180	179	811
181	180	809
182	180	806
183	181	803
184	181	800
185	182	797
186	182	794
187	183	791
188	183	788
189	184	785
190	184	782
191	185	779
192	185	776
193	186	774
194	187	771
195	187	769
196	187	766
197	188	763
198	189	760
199	189	758
200	190	756
201	190	753
202	191	750
203	191	749
204	192	747
205	193	745
206	193	742
207	194	740
208	194	737
209	195	734
210	195	732
211	196	729
212	196	726
213	197	724
214	197	721
215	198	719
216	199	718
217	199	716
218	200	714
219	200	712
220	201	710
221	201	707
222	202	705
223	203	703
224	203	701
225	204	700
226	205	698
227	205	696
228	206	694
229	206	691
230	207	689
231	207	686
232	207	684
233	208	681
234	208	679
235	209	677
236	209	675
237	210	673
238	211	671
239	211	670
240	212	668
241	212	666
242	213	664
243	213	662
244	214	660
245	214	658
246	215	656
247	216	655
248	216	653
249	217	651
250	217	649
251	218	648
252	218	646
253	219	644
254	220	642
255	220	640
256	221	638
257	221	637
258	222	635
259	222	633
260	223	632
261	223	630
262	224	629
263	225	627
264	225	625
265	226	623
266	226	622
267	227	620
268	227	619
269	228	617
270	228	615
271	229	614
272	230	613
273	231	612
274	231	611
275	232	609
276	233	608
277	233	607
278	234	606
279	235	605
280	235	603
281	236	602
282	237	600
283	237	599
284	238	598
285	238	596
286	239	594
287	239	593
288	240	591
289	241	590
290	241	589
291	242	588
292	243	586
293	243	585
294	244	583
295	244	582
296	245	581
297	246	579
298	246	578
299	247	576
300	247	575
301	248	574
302	249	573
303	249	571
304	250	570
305	250	568
306	251	567
307	251	566
308	252	564
309	253	563
310	253	561
311	254	560
312	255	560
313	255	559
314	256	557
315	257	556
316	257	555
317	258	554
318	258	552
319	259	551
320	260	550
321	260	549
322	261	548
323	262	546
324	262	545
325	263	544
326	263	543
327	264	541
328	264	540
329	265	538
330	266	537
331	266	537
332	267	535
333	268	534
334	268	533
335	269	532
336	270	531
337	270	530
338	271	529
339	272	528
340	272	527
341	273	526
342	274	525
343	274	523
344	275	522
345	275	521
346	276	520
347	276	518
348	277	517
349	278	516
350	278	515
351	279	514
352	279	512
353	280	511
354	281	510
355	281	509
356	282	508
357	282	506
358	283	505
359	283	504
360	284	503
361	285	502
362	285	501
363	286	500
364	287	499
365	287	498
366	288	497
367	288	496
368	289	495
369	290	494
370	291	493
371	291	492
372	292	491
373	292	490
374	293	489
375	293	487
376	294	486
377	295	485
378	295	484
379	296	483
380	297	482
381	297	481
382	298	480
383	298	479
384	299	478
385	299	476
386	300	475
387	300	474
388	301	473
389	302	472
390	302	471
391	303	470
392	304	469
393	304	468
394	305	467
395	305	466
396	306	465
397	306	463
398	307	462
399	307	461
400	308	460
401	309	459
402	309	458
403	310	457
404	310	456
405	311	455
406	311	454
407	312	453
408	312	452
409	313	450
410	313	449
411	314	448
412	315	447
413	316	447
414	316	446
415	317	445
416	317	444
417	318	443
418	319	442
419	319	441
420	320	440
421	321	439
422	321	438
423	322	437
424	322	436
425	323	435
426	324	434
427	324	433
428	325	432
429	325	431
430	326	430
431	326	429
432	327	428
433	327	427
434	328	426
435	328	425
436	329	424
437	329	423
438	330	422
439	330	421
440	331	420
441	331	419
442	332	418
443	333	417
444	334	416
445	334	415
446	335	414
447	335	413
448	336	412
449	336	411
450	337	410
451	338	410
452	338	409
453	339	408
454	340	407
455	340	406
456	341	405
457	341	404
458	342	403
459	342	402
460	343	401
461	343	400
462	344	399
463	344	398
464	345	397
465	346	397
466	347	396
467	348	395
468	348	395
469	349	394
470	350	393
471	351	392
472	352	392
473	352	391
474	353	390
475	354	389
476	354	388
477	355	387
478	355	387
479	356	386
480	357	385
481	358	384
482	358	383
483	359	383
484	359	382
485	360	381
486	360	380
487	361	379
488	361	378
489	362	377
490	362	376
491	363	375
492	364	374
493	364	373
494	365	372
495	365	371
496	366	370
497	367	369
498	367	368
499	368	368
500	368	367
501	369	366
502	369	365
503	370	364
504	371	363
505	371	362
506	372	361
507	372	360
508	373	359
509	373	359
510	374	358
511	374	357
512	375	356
513	376	355
514	376	354
515	377	354
516	378	353
517	379	352
518	379	351
519	380	351
520	381	350
521	381	349
522	382	349
523	383	348
524	384	347
525	384	346
526	385	345
527	385	344
528	386	344
529	386	343
530	387	342
531	388	341
532	388	340
533	389	339
534	389	338
535	390	338
536	391	337
537	391	336
538	392	335
539	392	334
540	393	333
541	393	332
542	394	332
543	395	331
544	395	330
545	396	329
546	397	329
547	398	328
548	398	327
549	399	326
550	399	325
551	400	325
552	401	324
553	401	323
554	402	322
555	403	322
556	403	321
557	404	320
558	405	319
559	405	318
560	406	318
561	407	317
562	408	317
563	409	316
564	409	315
565	410	314
566	411	313
567	411	313
568	412	312
569	413	311
570	414	311
571	414	310
572	415	309
573	416	308
574	416	308
575	417	307
576	418	306
577	418	305
578	419	305
579	420	304
580	420	303
581	421	302
582	422	301
583	422	301
584	423	300
585	424	299
586	432	304
587	433	303
588	434	302
589	434	302
590	435	301
591	436	300
592	437	299
593	437	299
594	438	298
595	439	297
596	440	297
597	440	296
598	441	295
599	441	294
600	442	293
601	442	292
602	443	292
603	444	291
604	445	290
605	446	289
606	446	289
607	447	288
608	447	287
609	448	286
610	448	285
611	449	284
612	450	284
613	450	283
614	451	282
615	451	281
616	452	281
617	453	280
618	453	279
619	454	278
620	454	277
621	455	276
622	455	275
623	456	275
624	457	274
625	458	273
626	458	272
627	459	272
628	459	271
629	460	270
630	460	269
631	461	268
632	462	267
633	463	267
634	463	266
635	464	265
636	465	265
637	465	264
638	466	263
639	466	262
640	467	261
641	468	261
642	468	260
643	469	259
644	470	258
645	470	257
646	471	257
647	471	256
648	472	255
649	472	254
650	473	253
651	474	253
652	474	252
653	475	251
654	476	250
655	476	249
656	477	249
657	477	248
658	478	247
659	478	246
660	479	245
661	479	244
662	480	244
663	480	243
664	481	242
665	482	241
666	482	240
667	483	240
668	483	239
669	483	238
670	484	237
671	484	236
672	485	235
673	485	234
674	486	234
675	486	233
676	487	232
677	488	231
678	488	230
679	489	230
680	489	229
681	490	228
682	490	227
683	491	226
684	491	226
685	492	225
686	493	224
687	493	223
688	494	223
689	495	222
690	495	221
691	496	220
692	496	220
693	497	219
694	497	218
695	498	217
696	499	216
697	499	216
698	500	215
699	500	214
700	501	213
701	501	212
702	502	212
703	502	211
704	502	210
705	503	209
706	504	208
707	504	208
708	505	207
709	505	206
710	506	205
711	506	204
712	507	204
713	507	203
714	508	202
715	508	201
716	508	200
717	509	200
718	509	199
719	510	198
720	510	197
721	511	196
722	512	196
723	512	195
724	513	194
725	513	193
726	514	193
727	514	192
728	515	191
729	515	190
730	516	190
731	516	189
732	517	188
733	518	187
734	518	187
735	519	186
736	519	185
737	520	184
738	520	183
739	521	183
740	521	182
741	521	181
742	522	180
743	522	179
744	523	179
745	524	178
746	524	177
747	525	177
748	526	176
749	526	175
750	527	174
751	527	174
752	528	173
753	529	172
754	530	172
755	530	171
756	531	170
757	531	169
758	532	168
759	532	168
760	533	167
761	533	166
762	533	165
763	534	165
764	534	164
765	535	163
766	536	162
767	536	162
768	537	161
769	537	160
770	538	159
771	538	159
772	538	158
773	539	157
774	539	156
775	540	156
776	540	155
777	541	154
778	541	153
779	542	152
780	543	152
781	543	151
782	543	150
783	544	149
784	544	149
785	545	148
786	545	147
787	546	146
788	546	146
789	546	145
790	547	144
791	547	143
792	548	143
793	549	142
794	550	141
795	550	141
796	551	140
797	551	139
798	552	138
799	553	138
800	553	137
801	554	136
802	554	136
803	555	135
804	555	134
805	556	133
806	556	133
807	557	132
808	557	131
809	558	130
810	558	130
811	558	129
812	559	128
813	559	127
814	560	127
815	560	126
816	561	125
817	562	125
818	562	124
819	563	123
820	563	122
821	564	122
822	565	121
823	565	120
824	566	120
825	567	119
826	567	118
827	568	118
828	568	117
829	569	116
830	569	115
831	570	115
832	570	114
833	570	113
834	571	112
835	571	112
836	572	111
837	573	110
838	573	110
839	574	109
840	574	108
841	575	107
842	575	107
843	576	106
844	576	105
845	576	105
846	577	104
847	577	103
848	578	102
849	578	102
850	579	101
851	580	100
852	580	100
853	581	99
854	581	98
855	582	97
856	582	97
857	583	96
858	583	95
859	584	95
860	585	94
861	585	93
862	586	93
863	586	92
864	587	91
865	587	90
866	587	90
867	588	89
868	588	88
869	589	88
870	589	87
871	590	86
872	590	85
873	591	85
874	591	84
875	592	83
876	593	83
877	593	82
878	593	81
879	594	81
880	594	80
881	595	79
882	595	78
883	596	78
884	596	77
885	597	76
886	597	76
887	598	75
888	598	74
889	599	74
890	599	73
891	600	72
892	600	71
893	601	71
894	601	70
895	602	69
896	602	69
897	603	68
898	603	67
899	604	67
